Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P005319,Middle East and North Africa,Hashemite Kingdom of Jordan,Closed,Health Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005319,1993-03-16T00:00:00Z,2001-12-31T00:00:00Z,,,20000000.0,0.0,20000000.0,0,,Specific Investment Loan,C,,Health,Central Government (Central Agencies),,Decentralization,Health system performance
P004309,East Asia and Pacific,Malaysia,Closed,Polytechnic Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004309,1993-03-16T00:00:00Z,1999-12-31T00:00:00Z,,,107000000.0,0.0,107000000.0,0,,Specific Investment Loan,C,,Tertiary Education,Central Government (Central Agencies),,Administrative and civil service reform,Education for the knowledge economy
P003533,East Asia and Pacific,People's Republic of China,Closed,Tianjin Industrial Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003533,1993-03-16T00:00:00Z,2000-06-30T00:00:00Z,,,150000000.0,0.0,150000000.0,0,,Financial Intermediary Loan,B,,"Other Industry, Trade and Services",Sub-National Government,Banking Institutions,Technology diffusion,Other financial and private sector development
P006875,Latin America and Caribbean,Republic of Colombia,Closed,Agricultural Sector Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006875,1993-03-18T00:00:00Z,1999-06-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Financial Intermediary Loan,B,,"Other Agriculture, Fishing and Forestry",,,Rural markets,
P007167,Latin America and Caribbean,Republic of El Salvador,Closed,AGRICULTURAL SECTOR REFORM AND INVESTMENT PROJECT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007167,1993-03-18T00:00:00Z,2003-01-31T00:00:00Z,,,40000000.0,0.0,40000000.0,0,,Specific Investment Loan,B,,"Agricultural Extension, Research, and Other Support Activities",Central Government (Central Agencies),,Rural policies and institutions,"Micro, Small and Medium Enterprise support"
P004006,East Asia and Pacific,Republic of Indonesia,Closed,Eastern Indonesia Kabupaten Roads Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004006,1993-03-23T00:00:00Z,1999-12-31T00:00:00Z,,,155000000.0,0.0,155000000.0,0,,Specific Investment Loan,B,,Roads and highways,Central Government (Central Agencies),,Urban services and housing for the poor,Rural services and infrastructure
P001920,Africa East,Republic of Mauritius,Closed,Education Sector Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P001920,1993-03-23T00:00:00Z,1998-12-31T00:00:00Z,,,20000000.0,0.0,20000000.0,0,,Specific Investment Loan,C,,Secondary Education,Tertiary Education,Primary Education,Education for all,Education for the knowledge economy
P010416,South Asia,Republic of India,Closed,Powergrid System Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P010416,1993-03-23T00:00:00Z,2000-12-31T00:00:00Z,,,350000000.0,0.0,350000000.0,0,,Specific Investment Loan,B,,Power,,,Other financial and private sector development,Regulation and competition policy
P005222,Middle East and North Africa,Islamic Republic of Iran,Closed,Primary Health Care & Family Planning Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005222,1993-03-25T00:00:00Z,2001-12-31T00:00:00Z,,,141400000.0,0.0,141400000.0,0,,Specific Investment Loan,B,,Health,Central Government (Central Agencies),,Health system performance,Rural services and infrastructure
P003570,East Asia and Pacific,People's Republic of China,Closed,Railway Project (06),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003570,1993-03-25T00:00:00Z,2001-06-30T00:00:00Z,,,420000000.0,0.0,420000000.0,0,,Specific Investment Loan,B,,Railways,Central Government (Central Agencies),,Environmental policies and institutions,Infrastructure services for private sector development
P003580,East Asia and Pacific,People's Republic of China,Closed,SOUTHERN JIANGSU ENVIRONMENTAL PROTECTION PROJECT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003580,1993-03-25T00:00:00Z,2001-06-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Specific Investment Loan,B,,"Other Water Supply, Sanitation and Waste Management",Sewerage,Sub-National Government,Pollution management and environmental health,Environmental policies and institutions
P007479,Latin America and Caribbean,Jamaica,Closed,Reform of Secondary Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007479,1993-03-25T00:00:00Z,2000-12-31T00:00:00Z,,,32000000.0,0.0,32000000.0,0,,Specific Investment Loan,C,,Secondary Education,Central Government (Central Agencies),Tertiary Education,Education for all,Improving labor markets
P005215,Middle East and North Africa,Islamic Republic of Iran,Closed,Power Sector Efficiency Improvement Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005215,1993-03-30T00:00:00Z,2000-12-31T00:00:00Z,,,165000000.0,0.0,165000000.0,0,,Specific Investment Loan,B,,Power,,,Other urban development,Infrastructure services for private sector development
P005462,Middle East and North Africa,Kingdom of Morocco,Closed,Large Scale Irrigation Improvement Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005462,1993-03-30T00:00:00Z,2000-12-31T00:00:00Z,,,215000000.0,0.0,215000000.0,0,,Specific Investment Loan,B,,Irrigation and Drainage,Central Government (Central Agencies),Roads and highways,Environmental policies and institutions,Rural services and infrastructure
P008278,Europe and Central Asia,Republic of Armenia,Closed,Institution Building Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008278,1993-03-30T00:00:00Z,1997-11-30T00:00:00Z,,,12000000.0,0.0,12000000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),Public Administration - Social Protection,"Other Industry, Trade and Services","Public expenditure, financial management and procurement",Tax policy and administration
P004009,East Asia and Pacific,Republic of Indonesia,Closed,Integrated Pest Management Training Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004009,1993-03-30T00:00:00Z,1999-11-30T00:00:00Z,,,32000000.0,0.0,32000000.0,0,,Specific Investment Loan,B,,"Agricultural Extension, Research, and Other Support Activities",Central Government (Central Agencies),,Pollution management and environmental health,Environmental policies and institutions
P008322,Europe and Central Asia,Republic of Bulgaria,Closed,Telecommunications Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008322,1993-04-13T00:00:00Z,1999-06-30T00:00:00Z,,,30000000.0,0.0,30000000.0,0,,Specific Investment Loan,C,,ICT Infrastructure,,,Infrastructure services for private sector development,Urban services and housing for the poor
P003999,East Asia and Pacific,Republic of Indonesia,Closed,Groundwater Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003999,1993-04-13T00:00:00Z,1999-12-31T00:00:00Z,,,54000000.0,0.0,54000000.0,0,,Specific Investment Loan,B,,Irrigation and Drainage,Water Supply,,Water resource management,Rural services and infrastructure
P004018,East Asia and Pacific,Republic of Indonesia,Closed,Flores Earthquake Reconstruction Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004018,1993-04-13T00:00:00Z,1998-11-30T00:00:00Z,,,42100000.0,0.0,42100000.0,0,,Emergency Recovery Loan,C,,Central Government (Central Agencies),Roads and highways,Other Education,Natural disaster management,
P004169,East Asia and Pacific,Republic of Korea,Closed,Kwangju and Seoul Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004169,1993-04-13T00:00:00Z,1999-12-31T00:00:00Z,,,110000000.0,0.0,110000000.0,0,,Specific Investment Loan,B,,Sewerage,,,Pollution management and environmental health,Water resource management
P004399,East Asia and Pacific,The Independent State of Papua New Guine,Closed,Population and Family Planning Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004399,1993-04-13T00:00:00Z,2002-09-30T00:00:00Z,,,6900000.0,0.0,6900000.0,0,,Specific Investment Loan,C,,Health,Central Government (Central Agencies),,Other communicable diseases,Population and reproductive health
P008771,Europe and Central Asia,Romania,Closed,Transport Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008771,1993-04-13T00:00:00Z,1998-12-31T00:00:00Z,,,120000000.0,0.0,120000000.0,0,,Specific Investment Loan,B,,Roads and highways,Central Government (Central Agencies),Railways,Improving labor markets,Rural services and infrastructure
P006952,Latin America and Caribbean,Republic of Costa Rica,Closed,Structural Adjustment Loan Project (03),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006952,1993-04-15T00:00:00Z,1995-04-30T00:00:00Z,,,100000000.0,0.0,100000000.0,0,,Structural Adjustment Loan,U,,"Other Industry, Trade and Services",Central Government (Central Agencies),Banking Institutions,Other financial and private sector development,Tax policy and administration
P008047,Latin America and Caribbean,Republic of Peru,Closed,Privatization Adjustment Loan ,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008047,1993-04-20T00:00:00Z,1998-01-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Sector Adjustment Loan,C,,Other Energy and Extractives,ICT Infrastructure,"Other Industry, Trade and Services",Macroeconomic management,Rural non-farm income generation
P008484,Europe and Central Asia,Hungary,Closed,Health Services & Managemetn Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008484,1993-04-20T00:00:00Z,2000-06-30T00:00:00Z,,,91000000.0,0.0,91000000.0,0,,Specific Investment Loan,C,,Health,,,Health system performance,Administrative and civil service reform
P008495,Europe and Central Asia,Hungary,Closed,Pension Administration & Health Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008495,1993-04-20T00:00:00Z,1999-12-31T00:00:00Z,,,132000000.0,0.0,132000000.0,0,,Specific Investment Loan,C,,ICT Infrastructure,Central Government (Central Agencies),,Other public sector governance,"Public expenditure, financial management and procurement"
P004796,East Asia and Pacific,Kingdom of Thailand,Closed,DISTRIBUTION SYSTEM AND ENERGY EFFICIENCY,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004796,1993-04-27T00:00:00Z,1999-12-31T00:00:00Z,,,109000000.0,0.0,109000000.0,0,,Specific Investment Loan,B,,Power,,,Environmental policies and institutions,Infrastructure services for private sector development
P008583,Europe and Central Asia,Republic of Poland,Closed,Agriculture Sector Adjustment Loan (ASAL),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008583,1993-05-04T00:00:00Z,1996-03-31T00:00:00Z,,,300000000.0,0.0,300000000.0,0,,Sector Adjustment Loan,C,,"Other Agriculture, Fishing and Forestry","Agricultural markets, commercialization and agri-business",Other Public Administration,"Public expenditure, financial management and procurement",Rural markets
P008589,Europe and Central Asia,Republic of Poland,Closed,Enterprise & Financial Sector Adjustment Loan (EFSAL),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008589,1993-05-04T00:00:00Z,1996-06-30T00:00:00Z,,,450000000.0,0.0,450000000.0,0,,Structural Adjustment Loan,U,,"Other Industry, Trade and Services",Banking Institutions,Central Government (Central Agencies),Macroeconomic management,Other financial and private sector development
P004599,East Asia and Pacific,Republic of the Philippines,Closed,Philippines Tax Computerization Project.,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004599,1993-05-11T00:00:00Z,1999-12-31T00:00:00Z,,,63000000.0,0.0,63000000.0,0,,Specific Investment Loan,C,,Central Government (Central Agencies),,,Tax policy and administration,
P005725,Middle East and North Africa,Republic of Tunisia,Closed,Forestry Development Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005725,1993-05-11T00:00:00Z,2001-05-31T00:00:00Z,,,69000000.0,0.0,69000000.0,0,,Specific Investment Loan,B,,Forestry,Central Government (Central Agencies),Sub-National Government,Land administration and management,Environmental policies and institutions
P004007,East Asia and Pacific,Republic of Indonesia,Closed,Cirata Hydroelectric Phase (02) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004007,1993-05-11T00:00:00Z,1999-06-30T00:00:00Z,,,104000000.0,0.0,104000000.0,0,,Specific Investment Loan,A,,Power,,,Infrastructure services for private sector development,Law reform
P006427,Latin America and Caribbean,Federative Republic of Brazil,Closed,Northeast Basic Education Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006427,1993-05-13T00:00:00Z,1998-12-31T00:00:00Z,,,212000000.0,0.0,212000000.0,0,,Sector Investment and Maintenance Loan,C,,Primary Education,Tertiary Education,Sub-National Government,Administrative and civil service reform,Education for all
P005168,Middle East and North Africa,Arab Republic of Egypt,Closed,Private Sector Tourism Infrastructure and Environmental Management Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005168,1993-05-18T00:00:00Z,2003-12-31T00:00:00Z,,,130000000.0,0.0,130000000.0,0,,Specific Investment Loan,A,,Roads and highways,"Other Water Supply, Sanitation and Waste Management",Power,Rural non-farm income generation,Regulation and competition policy
P003616,East Asia and Pacific,People's Republic of China,Closed,Tianhuangping Hydroelectric Project ,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003616,1993-05-18T00:00:00Z,2002-06-30T00:00:00Z,,,300000000.0,0.0,300000000.0,0,,Specific Investment Loan,A,,Power,"Other Water Supply, Sanitation and Waste Management",,Pollution management and environmental health,Regulation and competition policy
P004589,East Asia and Pacific,Republic of the Philippines,Closed,Irrigation Operation Support Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004589,1993-05-20T00:00:00Z,2000-12-31T00:00:00Z,,,51300000.0,0.0,51300000.0,0,,Specific Investment Loan,B,,Irrigation and Drainage,"Agricultural Extension, Research, and Other Support Activities",,Rural markets,Rural services and infrastructure
P006870,Latin America and Caribbean,Republic of Colombia,Closed,Export Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006870,1993-05-25T00:00:00Z,1999-12-31T00:00:00Z,,,50000000.0,0.0,50000000.0,0,,Financial Intermediary Loan,C,,Central Government (Central Agencies),Capital Markets,,Legal institutions for a market economy,Trade facilitation and market access
P007098,Latin America and Caribbean,Republic of Ecuador,Closed,Private Sector Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007098,1993-06-01T00:00:00Z,1999-06-01T00:00:00Z,,,75000000.0,0.0,75000000.0,0,,Financial Intermediary Loan,B,,Capital Markets,,,Other financial and private sector development,Trade facilitation and market access
P008059,Latin America and Caribbean,Republic of Peru,Closed,Energy and Mining Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008059,1993-06-01T00:00:00Z,1998-09-30T00:00:00Z,,,11800000.0,0.0,11800000.0,0,,Technical Assistance Loan,B,,Central Government (Central Agencies),,,Administrative and civil service reform,
P006003,Latin America and Caribbean,Argentine Republic,Closed,Road Maintenance and Rehabilitation Sector Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006003,1993-06-03T00:00:00Z,2000-06-30T00:00:00Z,,,340000000.0,0.0,340000000.0,0,,Specific Investment Loan,B,,Roads and highways,,,Pollution management and environmental health,Natural disaster management
P004170,East Asia and Pacific,Republic of Korea,Closed,Petroleum Distribution and Sector Management Improvement,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004170,1993-06-03T00:00:00Z,1998-12-31T00:00:00Z,,,120000000.0,0.0,120000000.0,0,,Specific Investment Loan,A,,Oil and Gas,,,Pollution management and environmental health,Other financial and private sector development
P004171,East Asia and Pacific,Republic of Korea,Closed,Environmental Research and Education Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004171,1993-06-03T00:00:00Z,1998-12-31T00:00:00Z,,,60000000.0,0.0,60000000.0,0,,Specific Investment Loan,C,,Tertiary Education,,,Education for the knowledge economy,Environmental policies and institutions
P006854,Latin America and Caribbean,Republic of Colombia,Closed,Municipal Health Services Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006854,1993-06-08T00:00:00Z,2002-12-31T00:00:00Z,,,50000000.0,0.0,50000000.0,0,,Specific Investment Loan,C,,Health,,,Social Protection and Labor Policy & Systems,Municipal governance and institution building
P009106,Europe and Central Asia,Ukraine,Closed,Institution Building Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009106,1993-06-08T00:00:00Z,1999-04-01T00:00:00Z,,,27000000.0,0.0,27000000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),Sub-National Government,Banking Institutions,Macroeconomic management,"Public expenditure, financial management and procurement"
P005514,Middle East and North Africa,Kingdom of Morocco,Closed,Land Development for Low Income Families Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005514,1993-06-10T00:00:00Z,2000-06-30T00:00:00Z,,,130000000.0,0.0,130000000.0,0,,Financial Intermediary Loan,B,,Banking Institutions,Other Non-bank Financial Institutions,Power,Land administration and management,Other financial and private sector development
P005517,Middle East and North Africa,Kingdom of Morocco,Closed,Municipal Finance Project (01),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005517,1993-06-10T00:00:00Z,1999-06-30T00:00:00Z,,,104000000.0,0.0,104000000.0,0,,Specific Investment Loan,B,,Power,Agro-industry,"Other Water Supply, Sanitation and Waste Management",Municipal finance,Infrastructure services for private sector development
P007484,Latin America and Caribbean,Jamaica,Closed,Private Sector Development Adjustment Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007484,1993-06-15T00:00:00Z,1995-12-31T00:00:00Z,,,75000000.0,0.0,75000000.0,0,,Sector Adjustment Loan,C,,"Other Industry, Trade and Services",Central Government (Central Agencies),"Other Agriculture, Fishing and Forestry",Rural policies and institutions,Tax policy and administration
P006941,Latin America and Caribbean,Republic of Costa Rica,Closed,Water Supply and Sewerage Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006941,1993-06-17T00:00:00Z,2003-12-31T00:00:00Z,,,26000000.0,0.0,26000000.0,0,,Specific Investment Loan,B,,Water Supply,Sewerage,Central Government (Central Agencies),Other urban development,Other financial and private sector development
P003627,East Asia and Pacific,People's Republic of China,Closed,Grain Distribution and Marketing Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003627,1993-06-17T00:00:00Z,2002-12-31T00:00:00Z,,,325000000.0,165000000.0,490000000.0,0,,Specific Investment Loan,B,,Ports/Waterways,Crops,"Agricultural markets, commercialization and agri-business",Trade facilitation and market access,Regulation and competition policy
P008809,Europe and Central Asia,Russian Federation,Closed,Oil Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008809,1993-06-17T00:00:00Z,1999-12-31T00:00:00Z,,,610000000.0,0.0,610000000.0,0,,Specific Investment Loan,A,,Oil and Gas,,,Export development and competitiveness,Other financial and private sector development
P004610,East Asia and Pacific,Republic of the Philippines,Closed,Power Transmission and Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004610,1993-06-22T00:00:00Z,1997-12-31T00:00:00Z,,,110000000.0,0.0,110000000.0,0,,Specific Investment Loan,B,,Power,,,Infrastructure services for private sector development,
P007723,Latin America and Caribbean,United Mexican States,Closed,Highway Rehabilitation and Traffic Safety Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007723,1993-06-24T00:00:00Z,2000-12-31T00:00:00Z,,,480000000.0,0.0,480000000.0,0,,Sector Investment and Maintenance Loan,C,,Roads and highways,Central Government (Central Agencies),,Infrastructure services for private sector development,
P008312,Europe and Central Asia,Republic of Bulgaria,Closed,Private Investment & Export Finance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008312,1993-06-24T00:00:00Z,1998-06-30T00:00:00Z,,,55000000.0,0.0,55000000.0,0,,Financial Intermediary Loan,B,,"Other Industry, Trade and Services",Banking Institutions,,Other financial and private sector development,Export development and competitiveness
P003990,East Asia and Pacific,Republic of Indonesia,Closed,Water Supply and Sanitation for Low Income Communities Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003990,1993-06-24T00:00:00Z,1999-11-30T00:00:00Z,,,80000000.0,0.0,80000000.0,0,,Specific Investment Loan,B,,Water Supply,Social Protection,Sanitation,Child health,Pollution management and environmental health
P009907,South Asia,Republic of India,Closed,External Sector and Investment Liberalization Program Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009907,1993-06-24T00:00:00Z,1993-12-31T00:00:00Z,,,300000000.0,0.0,300000000.0,0,,Sector Adjustment Loan,C,,"Other Industry, Trade and Services",Banking Institutions,Trade,Regulation and competition policy,Other financial and private sector development
P010422,South Asia,Republic of India,Closed,Technical Assistance (Private Power Development) Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P010422,1993-06-24T00:00:00Z,1996-12-31T00:00:00Z,,,20000000.0,0.0,20000000.0,0,,Technical Assistance Loan,C,,Power,Central Government (Central Agencies),,State-owned enterprise restructuring and privatization,Climate change
P006547,Latin America and Caribbean,Federative Republic of Brazil,Closed,RIO DE JANEIRO METROPOLITAN TRANSPORT DECENTRALIZATION PROJECT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006547,1993-06-29T00:00:00Z,2000-12-31T00:00:00Z,,,128500000.0,0.0,128500000.0,0,,Specific Investment Loan,B,,Other Transportation,Central Government (Central Agencies),,Other financial and private sector development,Decentralization
P010423,South Asia,Republic of India,Closed,NTPC Power Generation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P010423,1993-06-29T00:00:00Z,1999-03-31T00:00:00Z,,,400000000.0,0.0,400000000.0,0,,Specific Investment Loan,A,,Power,,,Other financial and private sector development,Environmental policies and institutions
P006089,Latin America and Caribbean,Barbados,Closed,Human Resources Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006089,1993-07-01T00:00:00Z,2000-12-31T00:00:00Z,,,7800000.0,0.0,7800000.0,0,,Specific Investment Loan,C,,Workforce Development and Vocational Education,Primary Education,Central Government (Central Agencies),Improving labor markets,Education for all
P008496,Europe and Central Asia,Hungary,Closed,Tax Administration Modernization Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008496,1993-07-08T00:00:00Z,1999-06-30T00:00:00Z,,,29000000.0,0.0,29000000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),,,Tax policy and administration,
P008843,Europe and Central Asia,Slovak Republic,Closed,Telecommunications Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008843,1993-07-15T00:00:00Z,2000-06-30T00:00:00Z,,,55000000.0,0.0,55000000.0,0,,Specific Investment Loan,C,,ICT Infrastructure,,,Infrastructure services for private sector development,Rural services and infrastructure
P008854,Europe and Central Asia,Republic of Slovenia,Closed,Enterprise & Financial Sector Adjustment Loan (EFSAL),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008854,1993-07-15T00:00:00Z,1995-12-31T00:00:00Z,,,80000000.0,0.0,80000000.0,0,,Sector Adjustment Loan,B,,Banking Institutions,"Other Industry, Trade and Services",Central Government (Central Agencies),Regulation and competition policy,Other economic management
P006524,Latin America and Caribbean,Federative Republic of Brazil,Closed,Minas Gerais Municipal Management and Environmental Infrastructure Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006524,1993-07-20T00:00:00Z,2001-12-31T00:00:00Z,,,150000000.0,0.0,150000000.0,0,,Specific Investment Loan,B,,Water Supply,Waste Management,Sewerage,Municipal finance,Pollution management and environmental health
P008295,Europe and Central Asia,Republic of Belarus,Closed,Institution Building Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008295,1993-07-29T00:00:00Z,1996-12-31T00:00:00Z,,,8300000.0,0.0,8300000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),Banking Institutions,Law and Justice,State-owned enterprise restructuring and privatization,Improving labor markets
P008610,Europe and Central Asia,Republic of Poland,Closed,Forestry Development Support Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008610,1993-07-29T00:00:00Z,2000-06-30T00:00:00Z,,,146000000.0,0.0,146000000.0,0,,Specific Investment Loan,B,,Forestry,Central Government (Central Agencies),,Other environment and natural resources management,Biodiversity
P006025,Latin America and Caribbean,Argentine Republic,Closed,Maternal and Child Health and Nutrition Project ,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006025,1993-08-03T00:00:00Z,2000-03-30T00:00:00Z,,,100000000.0,0.0,100000000.0,0,,Specific Investment Loan,C,,Health,Central Government (Central Agencies),,Nutrition and food security,Health system performance
P008504,Europe and Central Asia,Republic of Kazakhstan,Closed,Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008504,1993-08-03T00:00:00Z,2000-06-30T00:00:00Z,,,38000000.0,0.0,38000000.0,0,,Technical Assistance Loan,B,,Central Government (Central Agencies),Banking Institutions,"Other Industry, Trade and Services",Legal institutions for a market economy,Improving labor markets
P008378,Europe and Central Asia,Czech Republic,Closed,Telecommunications Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008378,1993-09-09T00:00:00Z,1998-06-30T00:00:00Z,,,80000000.0,0.0,80000000.0,0,,Specific Investment Loan,C,,ICT Infrastructure,,,Rural services and infrastructure,State-owned enterprise restructuring and privatization
P007165,Latin America and Caribbean,Republic of El Salvador,Closed,Structural Adjustment Loan Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007165,1993-09-14T00:00:00Z,1994-12-31T00:00:00Z,,,50000000.0,0.0,50000000.0,0,,Structural Adjustment Loan,U,,Central Government (Central Agencies),"Other Industry, Trade and Services",Social Protection,Macroeconomic management,Tax policy and administration
P007175,Latin America and Caribbean,Republic of El Salvador,Closed,Technical Assistance Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007175,1993-09-14T00:00:00Z,1996-09-30T00:00:00Z,,,2500000.0,0.0,2500000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),Law and Justice,,Administrative and civil service reform,Tax policy and administration
P005504,Middle East and North Africa,Kingdom of Morocco,Closed,ENVIRONMENTAL MANAGEMENT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005504,1993-09-14T00:00:00Z,1999-12-31T00:00:00Z,,,6000000.0,0.0,6000000.0,0,,Specific Investment Loan,C,,Central Government (Central Agencies),Law and Justice,"Adult, Basic and Continuing Education",Law reform,Administrative and civil service reform
P010447,South Asia,Islamic Republic of Pakistan,Closed,Public Sector Adjustment Loan / Credit Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P010447,1993-09-14T00:00:00Z,1995-12-31T00:00:00Z,,,150000000.0,100000000.0,250000000.0,0,,Structural Adjustment Loan,U,,"Other Industry, Trade and Services",Central Government (Central Agencies),Social Protection,State-owned enterprise restructuring and privatization,Administrative and civil service reform
P008509,Europe and Central Asia,Republic of Kazakhstan,Closed,Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008509,1993-09-16T00:00:00Z,1995-07-31T00:00:00Z,,,180000000.0,0.0,180000000.0,0,,Rehabilitation Loan,U,,Banking Institutions,"Other Industry, Trade and Services",Oil and Gas,Other economic management,State-owned enterprise restructuring and privatization
P005318,Middle East and North Africa,Hashemite Kingdom of Jordan,Closed,Energy Sector Adjustment Loan Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005318,1993-10-07T00:00:00Z,1997-12-31T00:00:00Z,,,80000000.0,0.0,80000000.0,0,,Sector Adjustment Loan,C,,Power,Oil and Gas,Other Energy and Extractives,Regulation and competition policy,Other economic management
P009123,Europe and Central Asia,Republic of Uzbekistan,Closed,Institution Building Technical Assistance Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009123,1993-10-07T00:00:00Z,2000-10-31T00:00:00Z,,,21000000.0,0.0,21000000.0,0,,Technical Assistance Loan,C,,Central Government (Central Agencies),Banking Institutions,Other Non-bank Financial Institutions,Improving labor markets,Law reform
P003622,East Asia and Pacific,People's Republic of China,Closed,Shanghai Metropolitan Transport Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003622,1993-10-14T00:00:00Z,2000-12-31T00:00:00Z,,,150000000.0,0.0,150000000.0,0,,Specific Investment Loan,A,,Roads and highways,Sub-National Government,Other Transportation,Other urban development,Municipal governance and institution building
